"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"69","kandahar_host","0",79.5,555,"percentage","pregnant_prop","strata","kandahar_host"," ",441,"pregnant_prop/kandahar_host","8",1,NA,NA,"strata","pregnant_prop"
"70","kandahar_host","1",18.7,555,"percentage","pregnant_prop","strata","kandahar_host"," ",104,"pregnant_prop/kandahar_host","8",2,NA,NA,"strata","pregnant_prop"
"71","kandahar_host","2",1.6,555,"percentage","pregnant_prop","strata","kandahar_host"," ",9,"pregnant_prop/kandahar_host","8",3,NA,NA,"strata","pregnant_prop"
"72","kandahar_host","3+",0.2,555,"percentage","pregnant_prop","strata","kandahar_host"," ",1,"pregnant_prop/kandahar_host","8",4,NA,NA,"strata","pregnant_prop"
"73","kandahar_idps","0",78.4,552,"percentage","pregnant_prop","strata","kandahar_idps"," ",433,"pregnant_prop/kandahar_idps","9",1,NA,NA,"strata","pregnant_prop"
"74","kandahar_idps","1",20.5,552,"percentage","pregnant_prop","strata","kandahar_idps"," ",113,"pregnant_prop/kandahar_idps","9",2,NA,NA,"strata","pregnant_prop"
"75","kandahar_idps","2",1.1,552,"percentage","pregnant_prop","strata","kandahar_idps"," ",6,"pregnant_prop/kandahar_idps","9",3,NA,NA,"strata","pregnant_prop"
"76","kandahar_idps","3+",0,552,"percentage","pregnant_prop","strata","kandahar_idps"," ",0,"pregnant_prop/kandahar_idps","9",4,NA,NA,"strata","pregnant_prop"
"77","kandahar_natural_disaster_affected","0",74.2,489,"percentage","pregnant_prop","strata","kandahar_natural_disaster_affected"," ",363,"pregnant_prop/kandahar_natural_disaster_affected","10",1,NA,NA,"strata","pregnant_prop"
"78","kandahar_natural_disaster_affected","1",24.3,489,"percentage","pregnant_prop","strata","kandahar_natural_disaster_affected"," ",119,"pregnant_prop/kandahar_natural_disaster_affected","10",2,NA,NA,"strata","pregnant_prop"
"79","kandahar_natural_disaster_affected","2",1.4,489,"percentage","pregnant_prop","strata","kandahar_natural_disaster_affected"," ",7,"pregnant_prop/kandahar_natural_disaster_affected","10",3,NA,NA,"strata","pregnant_prop"
"80","kandahar_natural_disaster_affected","3+",0,489,"percentage","pregnant_prop","strata","kandahar_natural_disaster_affected"," ",0,"pregnant_prop/kandahar_natural_disaster_affected","10",4,NA,NA,"strata","pregnant_prop"
"81","badakhshan_host","0",33.5,382,"percentage","breastfeeding_prop","strata","badakhshan_host"," ",128,"breastfeeding_prop/badakhshan_host","1",2,NA,NA,"strata","breastfeeding_prop"
"82","badakhshan_host","1",61.5,382,"percentage","breastfeeding_prop","strata","badakhshan_host"," ",235,"breastfeeding_prop/badakhshan_host","1",1,NA,NA,"strata","breastfeeding_prop"
"83","badakhshan_host","2",4.7,382,"percentage","breastfeeding_prop","strata","badakhshan_host"," ",18,"breastfeeding_prop/badakhshan_host","1",3,NA,NA,"strata","breastfeeding_prop"
"84","badakhshan_host","3+",0.3,382,"percentage","breastfeeding_prop","strata","badakhshan_host"," ",1,"breastfeeding_prop/badakhshan_host","1",4,NA,NA,"strata","breastfeeding_prop"
"85","badakhshan_idps","0",30.4,470,"percentage","breastfeeding_prop","strata","badakhshan_idps"," ",143,"breastfeeding_prop/badakhshan_idps","2",2,NA,NA,"strata","breastfeeding_prop"
"86","badakhshan_idps","1",67.4,470,"percentage","breastfeeding_prop","strata","badakhshan_idps"," ",317,"breastfeeding_prop/badakhshan_idps","2",1,NA,NA,"strata","breastfeeding_prop"
"87","badakhshan_idps","2",1.9,470,"percentage","breastfeeding_prop","strata","badakhshan_idps"," ",9,"breastfeeding_prop/badakhshan_idps","2",3,NA,NA,"strata","breastfeeding_prop"
"88","badakhshan_idps","3+",0.2,470,"percentage","breastfeeding_prop","strata","badakhshan_idps"," ",1,"breastfeeding_prop/badakhshan_idps","2",4,NA,NA,"strata","breastfeeding_prop"
"89","herat_host","0",44.6,442,"percentage","breastfeeding_prop","strata","herat_host"," ",197,"breastfeeding_prop/herat_host","3",2,NA,NA,"strata","breastfeeding_prop"
"90","herat_host","1",53.6,442,"percentage","breastfeeding_prop","strata","herat_host"," ",237,"breastfeeding_prop/herat_host","3",1,NA,NA,"strata","breastfeeding_prop"
"91","herat_host","2",1.4,442,"percentage","breastfeeding_prop","strata","herat_host"," ",6,"breastfeeding_prop/herat_host","3",3,NA,NA,"strata","breastfeeding_prop"
"92","herat_host","3+",0.5,442,"percentage","breastfeeding_prop","strata","herat_host"," ",2,"breastfeeding_prop/herat_host","3",4,NA,NA,"strata","breastfeeding_prop"
"93","herat_idps","0",34.4,500,"percentage","breastfeeding_prop","strata","herat_idps"," ",172,"breastfeeding_prop/herat_idps","4",2,NA,NA,"strata","breastfeeding_prop"
"94","herat_idps","1",64,500,"percentage","breastfeeding_prop","strata","herat_idps"," ",320,"breastfeeding_prop/herat_idps","4",1,NA,NA,"strata","breastfeeding_prop"
"95","herat_idps","2",1.4,500,"percentage","breastfeeding_prop","strata","herat_idps"," ",7,"breastfeeding_prop/herat_idps","4",3,NA,NA,"strata","breastfeeding_prop"
"96","herat_idps","3+",0.2,500,"percentage","breastfeeding_prop","strata","herat_idps"," ",1,"breastfeeding_prop/herat_idps","4",4,NA,NA,"strata","breastfeeding_prop"
"97","herat_natural_disaster_affected","0",39.8,349,"percentage","breastfeeding_prop","strata","herat_natural_disaster_affected"," ",139,"breastfeeding_prop/herat_natural_disaster_affected","5",2,NA,NA,"strata","breastfeeding_prop"
"98","herat_natural_disaster_affected","1",58.2,349,"percentage","breastfeeding_prop","strata","herat_natural_disaster_affected"," ",203,"breastfeeding_prop/herat_natural_disaster_affected","5",1,NA,NA,"strata","breastfeeding_prop"
"99","herat_natural_disaster_affected","2",1.4,349,"percentage","breastfeeding_prop","strata","herat_natural_disaster_affected"," ",5,"breastfeeding_prop/herat_natural_disaster_affected","5",3,NA,NA,"strata","breastfeeding_prop"
"100","herat_natural_disaster_affected","3+",0.6,349,"percentage","breastfeeding_prop","strata","herat_natural_disaster_affected"," ",2,"breastfeeding_prop/herat_natural_disaster_affected","5",4,NA,NA,"strata","breastfeeding_prop"
"101","jawzjan_host","0",35.2,375,"percentage","breastfeeding_prop","strata","jawzjan_host"," ",132,"breastfeeding_prop/jawzjan_host","6",2,NA,NA,"strata","breastfeeding_prop"
"102","jawzjan_host","1",60.5,375,"percentage","breastfeeding_prop","strata","jawzjan_host"," ",227,"breastfeeding_prop/jawzjan_host","6",1,NA,NA,"strata","breastfeeding_prop"
"103","jawzjan_host","2",4,375,"percentage","breastfeeding_prop","strata","jawzjan_host"," ",15,"breastfeeding_prop/jawzjan_host","6",3,NA,NA,"strata","breastfeeding_prop"
"104","jawzjan_host","3+",0.3,375,"percentage","breastfeeding_prop","strata","jawzjan_host"," ",1,"breastfeeding_prop/jawzjan_host","6",4,NA,NA,"strata","breastfeeding_prop"
"105","jawzjan_idps","0",40.2,445,"percentage","breastfeeding_prop","strata","jawzjan_idps"," ",179,"breastfeeding_prop/jawzjan_idps","7",2,NA,NA,"strata","breastfeeding_prop"
"106","jawzjan_idps","1",57.3,445,"percentage","breastfeeding_prop","strata","jawzjan_idps"," ",255,"breastfeeding_prop/jawzjan_idps","7",1,NA,NA,"strata","breastfeeding_prop"
"107","jawzjan_idps","2",2.5,445,"percentage","breastfeeding_prop","strata","jawzjan_idps"," ",11,"breastfeeding_prop/jawzjan_idps","7",3,NA,NA,"strata","breastfeeding_prop"
"108","jawzjan_idps","3+",0,445,"percentage","breastfeeding_prop","strata","jawzjan_idps"," ",0,"breastfeeding_prop/jawzjan_idps","7",4,NA,NA,"strata","breastfeeding_prop"
"109","kandahar_host","0",39.4,515,"percentage","breastfeeding_prop","strata","kandahar_host"," ",203,"breastfeeding_prop/kandahar_host","8",2,NA,NA,"strata","breastfeeding_prop"
"110","kandahar_host","1",50.5,515,"percentage","breastfeeding_prop","strata","kandahar_host"," ",260,"breastfeeding_prop/kandahar_host","8",1,NA,NA,"strata","breastfeeding_prop"
"111","kandahar_host","2",8.7,515,"percentage","breastfeeding_prop","strata","kandahar_host"," ",45,"breastfeeding_prop/kandahar_host","8",3,NA,NA,"strata","breastfeeding_prop"
"112","kandahar_host","3+",1.4,515,"percentage","breastfeeding_prop","strata","kandahar_host"," ",7,"breastfeeding_prop/kandahar_host","8",4,NA,NA,"strata","breastfeeding_prop"
"113","kandahar_idps","0",38.1,525,"percentage","breastfeeding_prop","strata","kandahar_idps"," ",200,"breastfeeding_prop/kandahar_idps","9",2,NA,NA,"strata","breastfeeding_prop"
"114","kandahar_idps","1",55.4,525,"percentage","breastfeeding_prop","strata","kandahar_idps"," ",291,"breastfeeding_prop/kandahar_idps","9",1,NA,NA,"strata","breastfeeding_prop"
"115","kandahar_idps","2",5.9,525,"percentage","breastfeeding_prop","strata","kandahar_idps"," ",31,"breastfeeding_prop/kandahar_idps","9",3,NA,NA,"strata","breastfeeding_prop"
"116","kandahar_idps","3+",0.6,525,"percentage","breastfeeding_prop","strata","kandahar_idps"," ",3,"breastfeeding_prop/kandahar_idps","9",4,NA,NA,"strata","breastfeeding_prop"
"117","kandahar_natural_disaster_affected","0",32.5,458,"percentage","breastfeeding_prop","strata","kandahar_natural_disaster_affected"," ",149,"breastfeeding_prop/kandahar_natural_disaster_affected","10",2,NA,NA,"strata","breastfeeding_prop"
"118","kandahar_natural_disaster_affected","1",57.6,458,"percentage","breastfeeding_prop","strata","kandahar_natural_disaster_affected"," ",264,"breastfeeding_prop/kandahar_natural_disaster_affected","10",1,NA,NA,"strata","breastfeeding_prop"
"119","kandahar_natural_disaster_affected","2",9.4,458,"percentage","breastfeeding_prop","strata","kandahar_natural_disaster_affected"," ",43,"breastfeeding_prop/kandahar_natural_disaster_affected","10",3,NA,NA,"strata","breastfeeding_prop"
"120","kandahar_natural_disaster_affected","3+",0.4,458,"percentage","breastfeeding_prop","strata","kandahar_natural_disaster_affected"," ",2,"breastfeeding_prop/kandahar_natural_disaster_affected","10",4,NA,NA,"strata","breastfeeding_prop"
"121","all","no",35.4,3313,"percentage","displaced_outside_prov_org","No_disagregation","all"," ",1173,"displaced_outside_prov_org/all","1",2,NA,NA,"No_disagregation","displaced_outside_prov_org"
"122","all","yes",64.6,3313,"percentage","displaced_outside_prov_org","No_disagregation","all"," ",2140,"displaced_outside_prov_org/all","1",1,NA,NA,"No_disagregation","displaced_outside_prov_org"
"123","badakhshan","no",96.2,576,"percentage","displaced_outside_prov_org","province","badakhshan"," ",554,"displaced_outside_prov_org/badakhshan","1",1,NA,"Badakhshan",NA,"displaced_outside_prov_org"
"124","badakhshan","yes",3.8,576,"percentage","displaced_outside_prov_org","province","badakhshan"," ",22,"displaced_outside_prov_org/badakhshan","1",2,NA,"Badakhshan",NA,"displaced_outside_prov_org"
"125","herat","no",22.3,1101,"percentage","displaced_outside_prov_org","province","herat"," ",246,"displaced_outside_prov_org/herat","2",2,NA,"Herat",NA,"displaced_outside_prov_org"
"126","herat","yes",77.7,1101,"percentage","displaced_outside_prov_org","province","herat"," ",855,"displaced_outside_prov_org/herat","2",1,NA,"Herat",NA,"displaced_outside_prov_org"
"127","jawzjan","no",55.6,590,"percentage","displaced_outside_prov_org","province","jawzjan"," ",328,"displaced_outside_prov_org/jawzjan","3",1,NA,"Jawzjan",NA,"displaced_outside_prov_org"
"128","jawzjan","yes",44.4,590,"percentage","displaced_outside_prov_org","province","jawzjan"," ",262,"displaced_outside_prov_org/jawzjan","3",2,NA,"Jawzjan",NA,"displaced_outside_prov_org"
"129","kandahar","no",46.2,1046,"percentage","displaced_outside_prov_org","province","kandahar"," ",483,"displaced_outside_prov_org/kandahar","4",2,NA,"Kandahar",NA,"displaced_outside_prov_org"
"130","kandahar","yes",53.8,1046,"percentage","displaced_outside_prov_org","province","kandahar"," ",563,"displaced_outside_prov_org/kandahar","4",1,NA,"Kandahar",NA,"displaced_outside_prov_org"
"131","idps","no",34.5,2340,"percentage","displaced_outside_prov_org","displacement_status","idps"," ",807,"displaced_outside_prov_org/idps","1",2,NA,NA,"displacement_status","displaced_outside_prov_org"
"132","idps","yes",65.5,2340,"percentage","displaced_outside_prov_org","displacement_status","idps"," ",1533,"displaced_outside_prov_org/idps","1",1,NA,NA,"displacement_status","displaced_outside_prov_org"
"133","natural_disaster_affected","no",100,973,"percentage","displaced_outside_prov_org","displacement_status","natural_disaster_affected"," ",973,"displaced_outside_prov_org/natural_disaster_affected","2",1,NA,NA,"displacement_status","displaced_outside_prov_org"
"134","natural_disaster_affected","yes",0,973,"percentage","displaced_outside_prov_org","displacement_status","natural_disaster_affected"," ",0,"displaced_outside_prov_org/natural_disaster_affected","2",2,NA,NA,"displacement_status","displaced_outside_prov_org"
